TIME,WBHP:1A,WGPR:1A,WGPT:1A,WOPR:1A,WOPT:1A,WWCT:1A,WWPR:1A,WWPT:1A,WWOR:1A
0,3610,0,0,0,0,0,0,0,0
1,3534.19,3248.75,3248.75,2353.47,2353.47,0.143692,394.922,394.922,0.167804136
4,3528.96,3142.96,12677.6,2278.16,9187.96,0.173705,478.918,1831.68,0.2102214067
12.66,3525.72,2887.49,37674.4,2092.25,27300.5,0.24649,684.424,7756.7,0.3271234317
37.08,3513.15,2358.59,95286,1709.69,69061.8,0.393028,1107.06,34798.1,0.6475208956
68.54,3500.25,1905.1,155217,1381.78,112530,0.515281,1468.9,81007.3,1.0630491106
100,3496.16,1616.59,206073,1173.07,149433,0.591556,1698.97,134454,1.4483108425
150,3494.49,1325.26,272336,961.439,197505,0.667704,1931.88,231049,2.0093630485
200,3495.27,1146.59,329665,826.422,238826,0.715517,2078.58,334977,2.5151556953
300,3497.13,921.469,421812,663.359,305162,0.772943,2258.2,560797,3.4041898881
400,3498.43,767.6,498572,552.632,360425,0.811586,2380.44,798841,4.3074595753
500,3499.48,663.6,564932,477.776,408203,0.837538,2463.07,1045150,5.1552819731
600,3500.33,591.816,624114,426.097,450813,0.855375,2520.11,1297160,5.9144044666
700,3501.05,540.712,678185,389.296,489742,0.868036,2560.73,1553230,6.5778482183
800,3501.68,501.845,728369,361.303,525872,0.877646,2591.62,1812390,7.1729822337
900,3502.23,470.26,775395,338.552,559728,0.885442,2616.73,2074070,7.7291819277
1000,3502.73,442.875,819683,318.828,591611,0.89219,2638.5,2337920,8.2756219654
1100,3503.17,419.315,861614,301.858,621796,0.89799,2657.23,2603640,8.8029139529
1200,3503.57,398.558,901470,286.907,650487,0.903093,2673.73,2871010,9.3191521991
1300,3503.97,380.221,939492,273.7,677857,0.907596,2688.3,3139840,9.8220679576
1400,3504.35,363.912,975884,261.953,704052,0.911598,2701.27,3409970,10.3120407096
1500,3504.7,349.252,1010810,251.394,729192,0.915193,2712.92,3681260,10.7915065594
